pesticide,crop
Brodifacoum 0.005 %w/w BB,Field rats/Bandicootrats
Brodifacoum 0.005 %w/w BB,Indian house rat/black rat/roof
Brodifacoum 0.005 %w/w BB,Pest
Brodifacoum 0.005 %w/w BB,"indica) Indian houserat / Black,"
Brodifacoum 0.005 %w/w BB,"rat (Rattus rattus; R. meltade),"
Broflanilide 20% SC,Brinjal
Broflanilide 20% SC,Cabbage
Broflanilide 20% SC,Chilli
Broflanilide 20% SC,Cotton
Broflanilide 20% SC,Maize
Broflanilide 20% SC,Okra
Broflanilide 20% SC,Pomegranate
Broflanilide 20% SC,Soybean
Broflanilide 20% SC,Tomato
Broflanilide 300 g/l SC,Brinjal
Broflanilide 300 g/l SC,Chilli
Broflanilide 300 g/l SC,Red gram
Broflanilide 300 g/l SC,Soybean
Broflanilide 300 g/l SC,Tomato
Broflanilide 300 g/l SC,"rat (Rattus rattus; R. meltade),"
Bromadiolone 00.005 % RB,Coconut/ Bamboo
Bromadiolone 00.005 % RB,Gram
Bromadiolone 00.005 % RB,"Groundnut,Sugarcane"
Bromadiolone 00.005 % RB,Paddy (Rice)
Bromadiolone 00.005 % RB,Poultry Farm
Bromadiolone 00.005 % RB,Residentialpremises
Bromadiolone 00.005 % RB,Wheat
Bromadiolone 00.25 % CB,"Groundnut,"
Bromadiolone 00.25 % CB,Paddy (Rice)
Bromadiolone 00.25 % CB,Poultry Farm
Bromadiolone 00.25 % CB,Sugarcane
Bromadiolone 00.25 % CB,"Wheat , Gram"
Buprofezin 20 % + Acetamiprid 2% w/w WP,Rice
Buprofezin 22. 0% + Fipronil 3 % SC,Cotton
Buprofezin 22. 0% + Fipronil 3 % SC,Rice (Paddy)
Buprofezin 23.10 % + Fipronil 3.85 % w/w SC,Cotton
Buprofezin 23.10 % + Fipronil 3.85 % w/w SC,Rice
Buprofezin 25 % SC,Chilies
Buprofezin 25 % SC,Cotton
Buprofezin 25 % SC,Grapes
Buprofezin 25 % SC,Mango
Buprofezin 25 % SC,Poultry Farm
Buprofezin 25 % SC,Rice
Buprofezin 70 % DF,Bamboo
Buprofezin 70 % DF,Coconut/
Buprofezin 70 % DF,Cotton
Buprofezin 70 % DF,Okra (Bhindi)
Buprofezin 70 % DF,Poultry Farm
Buprofezin 70 % DF,Residential
Buprofezin 70 % DF,Rice
Buprofezin 70 % DF,premises
CARTAP HYDROCHLORIDE 7.5% + CHLORANTRANILIPROLE 0.4 % GR,Paddy
CARTAP HYDROCHLORIDE 7.5% + CHLORANTRANILIPROLE 0.4 % GR,Rice
CHLORANTRANILIPROLE 0.53% w/w GR,Maize
CHLORANTRANILIPROLE 0.53% w/w GR,Rice
CHLORANTRANILIPROLE 47.85 % w/w SC,Brinjal
CHLORANTRANILIPROLE 47.85 % w/w SC,Cabbage
CHLORANTRANILIPROLE 47.85 % w/w SC,Chickpea
CHLORANTRANILIPROLE 47.85 % w/w SC,Chili
CHLORANTRANILIPROLE 47.85 % w/w SC,Chilli
CHLORANTRANILIPROLE 47.85 % w/w SC,Cotton
CHLORANTRANILIPROLE 47.85 % w/w SC,Green gram
CHLORANTRANILIPROLE 47.85 % w/w SC,Groundnut
CHLORANTRANILIPROLE 47.85 % w/w SC,Maize
CHLORANTRANILIPROLE 47.85 % w/w SC,Red gram
CHLORANTRANILIPROLE 47.85 % w/w SC,Rice
CHLORANTRANILIPROLE 47.85 % w/w SC,Soybean
CHLORANTRANILIPROLE 47.85 % w/w SC,Sugarcane
CHLORANTRANILIPROLE 47.85 % w/w SC,Tomato
CHLORANTRANILIPROLE 5.2% + NOVALURON 8.5% SC,Chickpea
CHLORANTRANILIPROLE 5.2% + NOVALURON 8.5% SC,Chilli
CHLORANTRANILIPROLE 5.2% + NOVALURON 8.5% SC,Maize
CHLORANTRANILIPROLE 5.2% + NOVALURON 8.5% SC,Paddy
CHLORANTRANILIPROLE 5.2% + NOVALURON 8.5% SC,Tomato
CYANTRANILIPROLE 18.41% w/w SC,Capsicum
CYANTRANILIPROLE 18.41% w/w SC,Chilli
CYANTRANILIPROLE 18.41% w/w SC,Citrus
CYANTRANILIPROLE 18.41% w/w SC,Cucumber
CYANTRANILIPROLE 18.41% w/w SC,Tomato
CYANTRANILIPROLE 18.41% w/w SC,Watermelon
CYANTRANILIPROLE 19.8%w/w + THIAMETHOXAM 19.8%w/w FS,Cotton
CYANTRANILIPROLE 19.8%w/w + THIAMETHOXAM 19.8%w/w FS,Maize
Captan 50% WP,Apple
Captan 50% WP,Cherry
Captan 50% WP,Grapes
Captan 50% WP,Potato
Captan 50% WP,Tomato
Captan 75% WP,Apple*
Captan 75% WP,"Beans,"
Captan 75% WP,"Brinjal,"
Captan 75% WP,Cabbage/
Captan 75% WP,"Cauliflower,"
Captan 75% WP,Cherry
Captan 75% WP,Chillies
Captan 75% WP,"Chillies,"
Captan 75% WP,Grape
Captan 75% WP,Ornamental
Captan 75% WP,Paddy(Rice)
Captan 75% WP,Potato
